what is the difference between meconium ileus and meconium plug syndrome	what is the difference between meconium ileus and meconium plug syndrome	influence of mist tent therapy on sputum viscosity and water content in cystic fibrosis the hypothesis that mist tent therapy decreases the viscosity of sputum by direct liquefaction of the sputum in the lower respiratory tract was tested in patients with cystic fibrosis cf the first night all patients slept without the mist tent and the first morning sputum was collected for analysis the following nights patients were randomly allocated to a tent supplied by either a jet or ultrasonic nebulizer the early morning sputum was analysed for volume viscosity water content and dna content an index of purulence there was no relation between sputum viscosity and dna content water content or volume furthermore there was no consistent relation between sputum viscosity or volume expectorated and the presence or absence of an hour stay in the tent with either method of water nebulization these results therefore suggest that mist therapy does not consistently influence sputum viscosity or volume in patients with cf above a sputum water content of further increases in water content do not influence viscosity
what abnormalities of amino acid transport have been described in the small bowel of cf patients	what abnormalities of amino acid transport have been described in the small bowel of cf patients	a placebo controlled trial of cephalexin therapy in the ambulatory management of patients with cystic fibrosis the effects of oral administration of cephalexin were evaluated in a double blind placebo controlled crossover study in patients with mild to moderate pulmonary disease due to cystic fibrosis for two years four month periods with cephalexin were alternated with four month placebo periods thus patients served as their own control subjects fungal vulvovaginitis occurred in two patients during cephalexin therapy during the years of study the rate of colonization with mucoid strains of pseudomonas aeruginosa increased and disease severity deteriorated in patients initially colonized with p aeruginosa short term courses of sputum culture specific antibiotics improved the course of some patients with mild to moderate pulmonary disease due to cystic fibrosis treatment with cephalexin decreased the frequency of respiratory illnesses respiratory illnesses requiring antibiotics and hospitalizations for respiratory illnesses in patients initially colonized with staphylococcus aureus and or haemophilus influenzae and also reduced colonization with these organisms improved weight gain in of patients was associated with periods of cephalexin therapy pulmonary function tests remained stable or improved in or patients disease severity improved in patients not colonized with p aeruginosa
what are the clinical or biochemical features of pancreatitis in cf patients	what are the clinical or biochemical features of pancreatitis in cf patients	nasal polyps in cystic fibrosis in ii polyps from patients with cystic fibrosis of the pancreas the density shape and architecture of mucous glands were studied by the whole mount method and compared with non cystic fibrosis polyps there were no differences in density which was in most polyps less than gland mm the shape and architecture as well as other histological appearances of the polyp were also alike in both groups of polyps which could not be distinguished the pathogenesis of nasal polyps in cystic fibrosis is discussed apparently it is the same as that of non cystic fibrosis polyps
what non-invasive tests can be performed for the evaluation of exocrine pancreatic function in patients with cf	what non-invasive tests can be performed for the evaluation of exocrine pancreatic function in patients with cf	pseudomonas aeruginosa infection in cystic fibrosis bactericidal effect of serum from normal individuals and patients with cystic fibrosis on p aeruginosa strains from patients with cystic fibrosis or other diseases p aeruginosa strains originating from the respiratory tract of patients with cystic fibrosis cf and patients with other diseases non cf were analysed with regard to their sensitivity to the bactericidal activity of human serum p aeruginosa strains isolated from cf patients were more sensitive than strains from non cf patients to the bactericidal activity of normal human serum the bactericidal activity was heatlabile as regards the sensitivity to normal human serum mucoid and non mucoid variants were not found to differ strains originating from chronically infected cf patients with many precipitins against these bacteria did not differ with respect to serum sensitivity from strains originating from intermittently colonized cf patients without p aeruginosa precipitins compared with normal sera cf sera showed similar or higher bactericidal activity against a panel of p aeruginosa strains in this respect any difference between cf sera with precipitins and cf sera without precipitins against p aeurginosa was not found sera from three cf patients chronically infected with p aeruginosa and with many precipitins against these bacteria showed a selective inability in bactericidal activity against the patients own p aeruginosa isolate possibly reflecting the presence of bactericidal blocking antibodies
what are the hepatic complications or manifestations of cf	what are the hepatic complications or manifestations of cf	variability in cystic fibrosis letter all of us who care for patients with cystic fibrosis cf are well aware of the varying degrees of clinical involvement they have it has long been known that whereas the most patients have pulmonary involvement of one degree or another approximately to of patients will not have any pancreatic involvement in the to of patients with pancreatic involvement the degree of involvement can vary greatly if we can accept the concept of clinical heterogeneity for the pulmonary and gastrointestinal systems there is no reason why we should doubt the existence of clinical variability for the other major organ system affected by this disease the sweat glands
what are the gastrointestinal complications of cf after the neonatal period exclude liver disease and meconium ileus	what are the gastrointestinal complications of cf after the neonatal period exclude liver disease and meconium ileus	abnormal breakdown of alpha macroglobulin trypsin complex in cystic fibrosis the complex of trypsin with purified alpha macroglobulin from normals and patients with cystic fibrosis was studied the formed complex failed to reveal any proteolytic activity toward a high molecular weight substrate whereas the esterolytic activity towards a low molecular weight substrate was retained this esterolytic activity was resistant to inhibition by a high molecular weight inhibitor during iincubation at degrees c the complex with normal alpha macroglobulin was slowly inhibited by the high molecular weight inhibitor and regained activity with the high molecular weight substrate this phenomenon was not obtained when the alpha macroglobulin from cystic fibrosis was examined these data suggest that the gradual conversion of normal alpha macroglobulin trypsin complex into an alpha macroglobulin fragment trypsin complex is deficient in patients with cystic fibrosis
what is the most effective regimen for the use of pancreatic enzyme supplements in the treatment of cf patients	what is the most effective regimen for the use of pancreatic enzyme supplements in the treatment of cf patients	pharmacokinetics of methicillin in patients with cystic fibrosis the disposition of methicillin in normal subjects and in subjects with cystic fibrosis cf was studied after administration of single intravenous doses of mg kg the area under the serum concentration vs time curve for cf patients was on the average only of that found for normal subjects the low concentrations in serum were caused by more rapid urinary excretion of the antibiotic with rates of renal clearance averaging ml min per m in the patients with cf and ml min per m in the normal subjects no differences were found in volumes of distribution and metabolic clearance rates of methicillin or in rates of creatinine clearance between the two groups of subjects these data support previous findings with dicloxacillin which show that patients with cf exhibit unusually rapid active tubular secretion of certain penicillins that may necessitate use of larger doses of these drugs in treatment of infections
is dietary supplementation with bile salts of therapeutic benefit to cf patients	is dietary supplementation with bile salts of therapeutic benefit to cf patients	precipitating antibodies against escherichia coli bacteroides fragilis ss thetaiotaomicron and pseudomonas aeruginosa in serum from normal persons and cystic fibrosis patients determined by means of crossed immunoelectrophoresis serum from normal persons and from cystic fibrosis patients was examined for precipitins against faecal bacteria e coli and b fragilis and against p aeruginosa by means of crossed immunoelectrophoresis of the normal sera contained precipitins against e coli contained one precipitin against b fragilis and contained one precipitin against p aeruginosa in sera from cystic fibrosis patients there was a significantly increased prevalence of precipitins against e coli b fragilis and p aeruginosa and the mean number of precipitins against each of these bacteria was range range and range respectively increased numbers of precipitins against p aeruginosa were correlated with chronic lung infection caused by this species and with poor prognosis whereas such associations were not revealed as regards precipitins against the two other bacterial species increased numbers of precipitins against e coli and b fragilis were significantly associated with increased numbers of precipitins against p aeruginosa it is suggested that this association is due to immune reactions in the intestinal mucosa resulting in increased absorption of antigens from the gut
what complications of pancreatic enzyme therapy have been reported in cf patients	what complications of pancreatic enzyme therapy have been reported in cf patients	a study of the salivary glycoprotein in cystic fibrosis patients and controls fucose incorporation and protein pattern the incorporation of fucose to glycoprotein acceptors prepared from the saliva of cystic fibrosis cf patients was compared with the incorporation into acceptors from controls the cf acceptor glycoprotein incorporated significantly more fucose in the presence of either patients or control plasma the fucosyl transferase activity in the patients plasma was not significantly different from controls fucosidase activity was similar also for both groups the protein bands of the acceptor glycoproteins from the patients saliva differed from those of the control in number and electrophoretic mobility on the basis of these studies of fucose incorporation we propose that glycoprotein in the salivary secretion of e apatients are qualitatively different from normal
what is the effect of treatment of cf patients with essential fatty acid supplements	what is the effect of treatment of cf patients with essential fatty acid supplements	multifocal myocardial necrosis and fibrosis in pancreatic diseases of children from a review of autopsies of children cases of extensive necrosis and scarring fibrosis of the myocardium were found these lesions involved mainly the left ventricle and spared the endocardium the pericardium and the coronary vessels these necrotic of fibrotic heart lesions were found to be closely associated with various pancreatic diseases cystic fibrosis cases pancreatic lipomatosis cases extensive small bowel resection cases of which were associated with acute interstitial pancreatitis to explain these unexpected associations two hypotheses can be put forth the lack of absorption of some presently undetermined substances indispensable for the correct trophicity of the myocardium and the release in the blood of proteolytic enzymes with consecutive activation of phlogistic substances such as kinins
does pancreatic insufficiency in cf patients affect their ability to absorb or metabolize iron	does pancreatic insufficiency in cf patients affect their ability to absorb or metabolize iron	alterations in the golgi complex and glycoprotein biosynthesis in normal and diseased tissues the golgi complex has an important role in the regulation and normal development of the cell contributing to anabolic functions including the assembly and secretion of macromolecules and to catabolic functions in the synthesis of lysosomes the central role of the golgi complex in the biosynthesis of glycoproteins has been demonstrated the purpose of this review is to focus attention on the structural and functional correlation of the golgi complex in the liver in relation to its involvement in disease the hepatic parenchymal cell has been used widely as a model to study biosynthetic absorptive and secretory functions of epithelial cell types the studies are grouped under five broad headings structural organization development and differentiation ultrastructural changes in pathologic conditions alterations in glycoprotein biosynthesis and alterations in glycosyltransferases
what is the frequency of cf in non-caucasian populations	what is the frequency of cf in non-caucasian populations	bronchial mucus secretion in cystic fibrosis mucus is the primary aetiological factor in the development of pulmonary disease in cystic fibrosis biochemical studies on bronchial secretions have not yet confirmed any qualitative difference in composition or in the nature of the glycoproteins the major component of secretion with the lack of any clear evidence of a basic abnormality in the nature of mucus attention has been directed to the possible defect in the control of mucus secretion this encompasses alteration in the normal regulation of the autonomic nervous system or to its stimulation either at the cellular or intracellular control level in recent years attention has focused on the presence of ciliotoxic factors in serum of children with cystic fibrosis and their possible role in the pathophysiology of cystic fibrosis control of mucus secretion submucosal glands goblet cells experimental models of lung disease in cystic fibrosis the role of serum factors in mucus secretion and the mucus blanket in chronic lung disease are discussed
what congenital or hereditary diseases or conditions have been found in association with cf	what congenital or hereditary diseases or conditions have been found in association with cf	screening for cystic fibrosis in the newborn in an year period a programme of screening for cystic fibrosis has been conducted over an extensive part of wales the screening method used is based on the detection of a high level of albumen greater than mg in the meconium during the course of the investigations several different tests have been used because of the high incidence of false negative results the detection of protein in meconium is not an ideal screening test but is the most satisfactory presently available in the newborn period because of its relative simplicity low cost absence of direct involvement of the parent or patient and a high yield of positive cases its use on a wider scale may be justified
what are the characteristics of patients in whom cf is incompletely manifested	what are the characteristics of patients in whom cf is incompletely manifested	the pulmonary circulation remodeling in growth and disease the j burns amberson lecture this account draws on studies of young and mature lung on normal and morbid anatomic features on normal adaptations as in growth and remodeling by disease qualitative analysis of the vascular bed development of the pulmonary circulation right ventricular hypertrophy or cor pulmonale remodeling in disease and experimental studies are discussed pulmonary hypertension offers us a complex pattern of structural and functional interaction we are just beginning to realize how complex it is information on normal structure its modification and remodeling by growth and disease and appropriate techniques are available that will enable us to formulate our questions with due regard for anatomic precision and functional implication and so research will lead to understanding and it can be expected to control of the undesirable aspects of pulmonary hypertension
what evidence is there that the genetic basis for cf involves more than one gene	what evidence is there that the genetic basis for cf involves more than one gene	noninvasive radionuclide assessment of right ventricular performance in man this chapter focuses on the application of radionuclide angiocardiography to assessment of right ventricular ejection fraction and the relationship between right and left heart performance demonstrated by this technique prior to discussion of the clinical applications the functional geometry of the two ventricles will be reviewed in addition the first pass radiotracer techniques will be compared to other radionuclide imaging approaches of the right heart first pass radionuclide angiocardiographic techniques are now suitable for clinical application they have been validated and standardized and can be relied upon for accurate reproducible noninvasive assessment of right and left ventricular performance they already have been applied to the study of patients with cardiopulmonary disease future directions will include earlier evaluation of myocardial infarction application to children and adults with a variety of congenital cardiac abnormalities primarily those affecting the right heart and assessment of the effects of physiologic stress upon right ventricular function with this background valuable clinical and investigative insights should become available during the coming years
what is the heterozygote advantage in cf	what is the heterozygote advantage in cf	nursing care study sally a child with cystic fibrosis fibrocystic disease is a common disease of childhood and the pancreas is abnormal in of these cases there is fibrosis with atrophy of the exocrine parenchymal tissue but islet cell tissue is rarely involved mucous glands throughout the body are grossly distended and they secrete an abnormal viscid mucus sweat glands appear normal but they secrete sweat with an abnormally high concentration of electrolytes a characteristic feature of the disease is the widespread chronic bronchiolitis this is due to the staphylococcus aureus which grow best in a salt rich medium
what is the concordance of clinical or biochemical manifestations of cf in sibling pairs both of whom have cf	what is the concordance of clinical or biochemical manifestations of cf in sibling pairs both of whom have cf	meconium plug syndrome cystic fibrosis and exocrine pancreatic deficiency letter we have observed severe meconium plug syndrome mps in a newborn infant who was found during the neonatal period to have extensive exocrine pancreatic deficiency cystic fibrosis was excluded by several sweat chloride tests our observation of mps in a patient with exocrine pancreatic deficiency suggests that the mps observed in the cf patients reported by rosenstein is probably caused by pancreatic deficiency the frequent occurrence of meconium ileus mi in cf and the rarity of mps in cf is curious since they may be different manifestations of the same pathologic process conceivably mps may occur with total absence of pancreatic enzymes as in our patient and in a few patients with cf low levels of enzymes in cf may limit expression to meconium ileus we wish to suggest the evaluation of exocrine pancreatic function in these patients even if cf has been excluded by sweat tests there is conflicting albeit fragmentary data suggesting that exocrine pancreatic deficiency may not be the sole cause of meconium obstruction in cf several investigators have suggested that mi may be the result of abnormal protein and mucoprotein secretions by the intestinal goblet cells and not from lack of pancreatic enzymes alone while these observations suggest that exocrine pancreatic deficiency may not play a major role in all instance of meconium obstruction it is important to note that there may be little correlation between the histologic appearance of the pancreas and exocrine function
what is the incidence of male fertility in cf	what is the incidence of male fertility in cf	abnormal levels of cyclic amp in isoproterenol stimulated fibroblasts from patients with cystic fibrosis to determine if the abnormalities of exocrine secretion characteristic of cystic fibrosis could be investigated in vitro i studied the synthesis of cyclic amp after isoproterenol stimulation in skin fibroblasts derived from patients with cystic fibrosis and from normal individuals comparison of normal and cystic fibrosis cells showed that the latter had to fold greater levels of intracellular cyclic amp after stimulation with isoproterenol the difference between the strains was observed at every stage of the culture cycle and was specific to stimulation by beta adrenergic agonists it could not be accounted for by different dose or time response curves nor by leakage of cyclic amp into the medium the increased sensitivity to catecholamines may reflect an intrinsic genetic property of cystic fibrosis cells and it may be feasible to use this system to study the biochemical basis of the genetic defect in cystic fibrosis
what is the pathology of the reproductive system male or female in cf	what is the pathology of the reproductive system male or female in cf	role of the fiberoptic bronchoscope in lung lavage of patients with cystic fibrosis this study compared the use of the fiberoptic bronchoscope with other lavage techniques under general anesthesia and of techniques using the rigid bronchoscope seventy seven procedures were performed on patients with cystic fibrosis their vital capacities were improved in of the valid measurements arterial blood gas levels showed improvements in of the values obtained a prospective study is needed which incorporates the values of pre and postoperative mmev rv tlc flow volume curves and arterial blood gas values an evaluation of the complications and ease of operation may be of greater value
what are the results of genetic counseling of families of children with cf	what are the results of genetic counseling of families of children with cf	immune complexes in cystic fibrosis circulating immune complexes were detected in serum and sputum of patients with cystic fibrosis c f there were extensive deposits of immunoglobulins and complement immune complexes in several of the c f organs especially the respiratory and gastrointestinal tracts but not in the kidneys significant concentrations of igg and of complement complexes could be eluted from the lungs of the c f patients but not from those of controls studies involving immunoabsorption autoradiography and molecular sieving through sephadex g columns identified both bovine serum albumin and staphylococcal alpha haemolysin as two of the antigens present in the immune complexes the sedimentation constant of the immune complexes was about s to s the clinical significance of these immune complexes and the wide variety of antibodies detected in c f patients are discussed
what are the major psychological or social effects of cf on patients and their families	what are the major psychological or social effects of cf on patients and their families	steatorrhea and azotorrhea and their relation to growth and nutrition in adolescents and young adults with cystic fibrosis fecal fat and nitrogen excretion were determined in patients to years of age with cystic fibrosis cf all had pancreatic deficiency current clinical and nutritional status and growth achievement in relation to fecal nutrient loss age at diagnosis and adequacy of treatment were evaluated steatorrhea and azotorrhea were present to a variable extent at times massive in all patients studied but bore little relation to existing intestinal symptoms state of nutrition growth achieved or age at diagnosis many of the patients with better growth nutrition and prognostic scores had been diagnosed relatively late in life and presumably had not received adequate or optimal treatment addition of pancreatic supplements resulted in significant but not dramatic decreases in fecal losses of fat and nitrogen it was concluded that despite pancreatic deficiency most older patients with cf need little dietary restriction although treatment should be individualized growth failure and state of nutrition seem to be correlated more closely with the pulmonary state than with pancreatic deficiency for ultimate prognosis natural variation in the severity of lung involvement is at least as important as early diagnosis and adequate or optimal treatment
what factors influence compliance with prescribed therapy in cf	what factors influence compliance with prescribed therapy in cf	cystic fibrosis is it relevant to family practitioners there has been a major change in the outlook for children with cystic fibrosis during the last years provided the diagnosis is made before serious irreversible lung disease has occurred most patients can expect to reach adult life without very serious disability
what conditions or factors lead to erroneous sweat tests	what conditions or factors lead to erroneous sweat tests	screening for cystic fibrosis by analysis of albumin in meconium a clinical study of the albumin content in meconium was performed on two categories of newborn infants a screening series of infants and a high risk group for cystic fibrosis cf of infants a single radial immunodiffusion technique and test strips were used three cf infants were detected in the screening series and in the high risk group the diagnostic accuracy for cf was fairly good the specificity was for the immunodiffusion technique and for test strips a high concentration of albumin in meconium was found not only in cf but also in preterm babies and infants with gastrointestinal disturbances such as atresias malaena neonatorum and malabsorption syndromes the sensitivity was for the immunodiffusion technique and for the test strip false negative results were probably due to proteolytic activity and might be avoided if the samples are stored at a low temperature before analysis cf screening of all meconiums by the use of test strips followed by analysis of positive tests by the immunodiffusion technique is suggested
what alternative techniques other than the classical gibson-cooke quantitative pilocarpine iontophoresis test are available for sweat testing what are their relative advantages and disadvantages	what alternative techniques other than the classical gibson-cooke quantitative pilocarpine iontophoresis test are available for sweat testing what are their relative advantages and disadvantages	separation of serum ciliary dyskinesia substances from cystic fibrosis subjects purified serum immunoglobulin g igg derived from eight cystic fibrosis cf and five carrier subjects has been shown to be responsible for the mucociliary disturbances noted in the rabbit tracheal bioassay a small molecular substance of less than but greater than daltons by amicon filtration was found associated with gamma globulin fractions isolated from sera of these same cystic patients and their parents once separated by pm ultrafiltration this small substance was unable to promote the ciliary dyskinesia response in eight of eight cf and five of five cf carrier individuals unless pooled purified human igg was added in addition the igg rich fraction retained by pm ultrafiltration was still able to promote the ciliary dyskinesia response in the bioassay an event noted in our earlier work with whole serum the size of the small serum substance and its association with igg closely corresponds to that described for the oyster test system as well as to that produced by cultured cells derived from homozygotes and heteroxygotes for this genetic disorder the persistence of the ability to promote mucociliary disturbances by the igg rich retentate pm fractions may be indicative of the ineffective molecular separation by the amicon ultransfiltration apparatus or may represent another cf related igg associated substance not influenced by ultrafiltration speculation the genetic disturbance of cf can be explained by the presence of a molecule s which has an affinity for igg which in turn gives rise to the various physiologic facets of this disorder this molecule s is present in cf only because of a deficiency of an enzyme which normally controls its level by inactivation
has any cf patient been found to have consistently normal sweat tests	has any cf patient been found to have consistently normal sweat tests	letter serum alpha fetoprotein in cystic fibrosis professor r k chandra and others found raised serum levels of alpha fetoprotein afp in a heterozygote carrier of the gene for cystic fibrosis and in patients with the disease and some of the siblings our results do not show any significant difference in afp levels in patients siblings parents or control children probably the discrepancy in the findings will be explained by more detailed examination of the technique used
what is the concentration of potassium in sweat from cf patients	what is the concentration of potassium in sweat from cf patients	effect of saliva from cystic fibrosis patients and from normal subjects on red blood cell sodium transport saliva whether taken from patients with cystic fibrosis or from normal subjects caused an increase in red blood cell na efflux in the presence or absence of ouabain of as compared with non saliva controls however there was no significant difference between the effects of cystic fibrosis saliva and normal saliva
what techniques are available for screening of newborn infants for cf and what factors contribute to erroneous results of these tests	what techniques are available for screening of newborn infants for cf and what factors contribute to erroneous results of these tests	epidemiological investigations of the respiratory tract bacteriology in patients with cystic fibrosis seventy patients with cystic fibrosis treated as out patients in a cystic fibrosis clinic have been followed during one year by monthly bacteriological examinations of tracheal secretions the daily impression obtained in the laboratory is expressed by the mean point prevalence rate of pseudomonas aeruginosa per cent staphylococcus aureus per cent haemophilus influenzae per cent diplococcus pneumoniae per cent and miscellaneous other bacteria mainly enterobacteriaceae per cent the fluctuations of the bacteriology are described by additional epidemiological terms at one or more examinations during the study period prevalence rate per cent of the patients harboured st aureus per cent ps aeruginosa mainly mucoid strains per cent h influenzae per cent d pneumoniae and per cent miscellaneous other bacteria mainly enterobacteriaceae this pattern was found in all age groups with minor age dependent modifications especially as regards enterobacteriaceae ps aeruginosa was predominating as regards chronic colonization which reflects the most difficult therapeutic problems the period prevalence rate being per cent in contrast to st aureus per cent and h influenzae per cent st aureus was predominating as regards new colonization and recolonization which reflect the problems of prevention the incidence rate of new colonization and recolonization per risk group being per cent followed by h influenzae per cent ps aeruginosa per cent and d pneumoniae per cent the results show that the bacteriological problems in cystic fibrosis are still considerable as regards therapy as well as prevention although many species may colonize the respiratory tracts of these patients the main clinical problems concern ps aeruginosa and st aureus the reason why is discussed
can cf be diagnosed prenatally	can cf be diagnosed prenatally	lipids in cystic fibrosis there are certain aspects of the symptomatology of cystic fibrosis that bear a resemblance to those of essential fatty acid deficiency we fed a group of patients essential fatty acids orally since intravenous administration is not a practical method for long term treatment results of the study were varied although some response was noted in all patients there were no consistent clinical changes seen in every patient the oral efa therapy effected no change in sputum cultures after one year of efa the sweat sodium concentration was lower in all but one patient the clinical aspect of our study is small but promising the results suggest a role for efas in the care of cf whether efa is a factor in the etiology of cf or merely a manifestation of malabsorption requires further investigation
